edicion lolla ,artista ,genero musical 01,genero musical 02,genero musical 03,integrantes,nacionalidad,headliner,escenario,veces en lollapalooza
2026,Cristobal Briceño y Grupo Crisis,Pop rock,Indie pop,Folk,5,Chilena,No,Cenco Malls Stage,1
2026,Bandalos Chinos,Indie pop,Synth pop,Soft rock,6,Argentina,No,Cenco Malls Stage,1
2026,Marina,Pop ,Indie pop,Electropop,1,Británica,No,Cenco Malls Stage,3
2026,Lewis Capaldi,Pop,Folk rock,Pop soul,1,Británica-Escocesa,Sí,Cenco Malls Stage,1
2026,Chappel Roan,Synth pop,Pop,Pop indie,1,Estadounidense,Sí,Cenco Malls Stage,1
2026,Dracma,Rock,Metal,NA,5,Chilena,No,Banco de Chile Stage,1
2026,Bad Nerves,Pop punk,Punk rock,NA,5,Británica,No,Banco de Chile Stage,1
2026,Airbag,Pop rock,Pop punk,Hard rock,3,Argentina,No,Banco de Chile Stage,1
2026,Interpol,Indie rock,Rock alternativo,Post-punk revival,3,Estadounidense,No,Banco de Chile Stage,3
2026,Deftones,Metal alternativo,Nu metal,Rock alternativo,4,Estadounidense,Sí,Banco de Chile Stage,2
2026,Young Cister,Trap,Pop urbano,Reguetón,1,Chilena,No,Banco de Chile Stage,2
2026,Astronautiko,Folk urbano,Rap,Trap,1,Chilena,No,Banco de Chile Stage,1
2026,Yami Safdie,Reguetón,Pop latino,R&B,1,Argentina,No,Banco de Chile Stage,2
2026,Royel Otis,Pop indie,Rock indie,Pop rock,2,Australiana,No,Banco de Chile Stage,1
2026,Katseye,Dance pop,Pop,NA,5,Estadounidense,No,Banco de Chile Stage,1
2026,Lorde,Art pop,Synth pop,Dream pop,1,Neozelandesa-Croata,Sí,Banco de Chile Stage,2
2026,Los Bunkers,Rock alternativo,Pop rock,NA,5,Chilena,Sí,Banco de Chile Stage,2
2026,Santo Barrio,Rock,Ska,Punk,6,Chilena,No,Banco de Chile Stage,1
2026,Joaquina,Pop latino,Folk rock,NA,1,Venezolana,No,Banco de Chile Stage,1
2026,Danny Ocean,Pop latino,Reguetón,Dancehall,1,Estadounidense-Venezolana,No,Banco de Chile Stage,2
2026,Adisson Rae,Pop,Synth pop,Electropop,1,Estadounidense,No,Banco de Chile Stage,1
2026,Skrillex,Electrónica,Dubstep,Dance,1,Estadounidense,Sí,Banco de Chile Stage,3
2026,Cleaver,Rock alternativo,Grunge,NA,4,Chilena,No,Alternative Stage,1
2026,LANY,Rock alternativo,Indie pop,Synth pop,3,Estadounidense,No,Alternative Stage,2
2026,Viagra Boys,Post punk,Art punk,Dance punk,6,Sueca,No,Alternative Stage,1
2026,Men I Trust,Indie pop,Indie rock,Dream pop,3,Canadiense,No,Alternative Stage,1
2026,Tom Morello,Metal alternativo,Funk metal,Heavy metal,1,Estadounidense,No,Alternative Stage,1
2026,Mano de Obra,Hardcore punk,Hardcore,NA,5,Chilena,No,Alternative Stage,1
2026,De Saloon,Rock alternativo,Pop rock,Indie rock,3,Chilena,No,Alternative Stage,2
2026,Judeline,Pop indie,Pop alternativo,NA,1,Española,No,Alternative Stage,1
2026,Balu Brigada,Rock indie,Pop alternativo,NA,2,Neozelandesa,No,Alternative Stage,1
2026,Orishas,Hip hop latino,Hip hop alternativo,Rap latino,2,Cubana,No,Alternative Stage,1
2026,Hesse Kassel,Rock alternativo,Post-rock,NA,6,Chilena,No,Alternative Stage,1
2026,Anttonias,Rock,Pop,NA,5,Chilena,No,Alternative Stage,1
2026,Manuel García,Rock,Trova,Folk,1,Chilena,No,Alternative Stage,2
2026,TV Girl,Indie pop,Ambient pop,Dream pop,3,Estadounidense,No,Alternative Stage,1
2026,2 Minutos,Punk rock,Ska punk,NA,5,Argentina,No,Alternative Stage,1
2026,RIIZE,K-pop,Pop rock,House  ,6,Coreana,No,Alternative Stage,1
2026,Benja Valencia,Reguetón,Trap ,Pop,1,Chilena,No,Perry's Stage,1
2026,Bryartz,Reguetón,Trap,Urbano,1,Chilena,No,Perry's Stage,1
2026,Saske,Rap,Urbano,NA,1,Española,No,Perry's Stage,1
2026,3ballmty,Electrónica,Latin house,Tribal house,3,Mexicana,No,Perry's Stage,1
2026,Six Sex,Techno pop,Reguetón,Neoperreo,1,Argentina,No,Perry's Stage,1
2026,HorsegiirL,Eurodance,Happy hardcore,Hyperpop,1,Alemana,No,Perry's Stage,1
2026,Bunt.,Folk house,Deep house,Techno,1,Alemana,No,Perry's Stage,1
2026,Ben Bohmer,Melodic House,Progressive house,NA,1,Alemana,No,Perry's Stage,1
2026,Kygo,House tropical,Dance-pop,House progresivo,1,Noruega,No,Perry's Stage,2
2026,Bruno Borlone,Funk,House,Hip hop,1,Chilena,No,Perry's Stage,1
2026,Marlon Breeze,Trap,Hip hop,NA,1,Chilena,No,Perry's Stage,1
2026,Aura Bae,Pop,Funk,Soul,1,Chilena,No,Perry's Stage,2
2026,Katteyes,Reguetón,Urbano,NA,1,Chilena,No,Perry's Stage,1
2026,Aerobica,Jackin house,Rave,Techno,2,Chilena,No,Perry's Stage,1
2026,Roz,House,Electrónica,NA,2,Mexicana,No,Perry's Stage,1
2026,Yousuke Yuk1matsu,Techno,Gabber,Trap,1,Japonesa,No,Perry's Stage,1
2026,Peggy Gou,Deep house,Dance,Trance,1,Surcoreana,No,Perry's Stage,1
2026,Miss Javi,Deep techno,House,Minimal,1,Chilena,No,Perry's Stage,1
2026,Mauricio Hernandez,Techno,NA,NA,1,Chilena,No,Perry's Stage,1
2026,Caleb Calloway,Electrónica,Dance,NA,1,Puertorriqueña,No,Perry's Stage,1
2026,Hamdi,Dubstep,Grime,Electrónica,1,Británica,No,Perry's Stage,1
2026,Facebrooklyn,Reguetón,Pop,Indie ,1,Chilena,No,Perry's Stage,2
2026,2Hollis & rommulas,Hyperpop,Reguetón,Hip hop,2,Estadounidense,No,Perry's Stage,1
2026,AKRIILA,Trap Latino,Pop experimental,Drum and Bass,1,Chilena,No,Perry's Stage,2
2026,Brutalismus 3000,Hardcore,Hard techno,NA,2,Alemana,No,Perry's Stage,1
2026,Consequence of energy,Rock alternativo,Post-hardcore,NA,5,Chilena,No,Lotus Stage,1
2026,Drink the sea,Rock alternativo,NA,NA,4,Estadounidense-chilena,No,Lotus Stage,1
2026,Amigo de artistas,Cumbia,Cumbia pop,NA,2,Chilena,No,Lotus Stage,1
2026,The La Planta,Cumbia,NA,NA,1,Uruguaya,No,Lotus Stage,1
2026,Gondwana,Reggae,Rocksteady,R&B,8,Chilena,No,Lotus Stage,2
2026,Fonosida,Pop melancólico,Indie Pop,Electropop,4,Chilena,No,Lotus Stage,1
2026,Como asesinar a felipes,Hip hop alternativo,Rap experimental,Rock Psicodélico,5,Chilena,No,Lotus Stage,3
2026,Chicarica,Synth-pop,Electrónica,NA,3,Chilena,No,Lotus Stage,1
2026,Guatarricadelafuente,Folk,Indie,Rumba,1,Española,No,Lotus Stage,1
2026,Rubio,Pop  ,Electrónica,NA,1,Chilena,No,Lotus Stage,4
2026,Tomo como rey,Cumbia,Pachanga,Rock,NA,Chilena,No,Lotus Stage,1
2026,Los borne,Rock alternativo,Folk rock,NA,4,Chilena,No,Lotus Stage,2
2026,La caravana mágica,Pop,Reggae,Hip hop,3,Chilena,No,Lotus Stage,1
2026,Niebla Niebla,Shoegaze,Dreampop,NA,3,Chilena,No,Lotus Stage,1
2026,Claudio Valenzuela Trio,Rock alternativo,Pop  ,Post-punk,3,Chilena,No,Lotus Stage,1
2026,Mau & Ricky,Reguetón,Pop latino,Cumbias,2,Venezolana,No,Lotus Stage,1
2026,Quilapayún,Fusión latinoamericana,Música andina,Música folclórica,11,Chilena,No,Lotus Stage,2
,,,,,,,,,
